package,status,kali_categories,domain,summary
0trace,installed,none-detected,general-ops,traceroute tool that can run within an existing TCP connection
7zip,installed,none-detected,general-ops,7-Zip file archiver with a high compression ratio
7zip-standalone,installed,none-detected,general-ops,7-Zip file archiver with a high compression ratio (standalone)
above,installed,none-detected,general-ops,Network security sniffer for finding vulnerabilities in the network
adaptixc2,installed,none-detected,exploitation-c2,extensible post-exploitation and adversarial emulation framework
aesfix,installed,none-detected,general-ops,tool for correcting bit errors in an AES key schedule
aeskeyfind,installed,none-detected,general-ops,tool for locating AES keys in a captured memory image
afflib,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
afflib-tools,installed,none-detected,forensics-ir,Advanced Forensics Format Library (utilities)
libafflib-dev,installed,none-detected,forensics-ir,Advanced Forensics Format Library (development files)
libafflib0t64,installed,none-detected,forensics-ir,Advanced Forensics Format Library
aflplusplus,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
afl++-doc,installed,none-detected,reverse-fuzzing,instrumentation-driven fuzzer for binary formats - documentation
aircrack-ng,installed,kali-wifi-credential-access,wireless-rf,wireless WEP/WPA cracking utilities
airgraph-ng,installed,none-detected,wireless-rf,Tool to graph txt files created by aircrack-ng
airgeddon,installed,none-detected,wireless-rf,multi-use bash script for Linux systems to audit wireless networks
altdns,installed,none-detected,general-ops,Subdomain discovery through alterations and permutations
amap,installed,none-detected,general-ops,next-generation scanning tool for pentesters
amass,installed,kali-discovery;kali-identify;kali-network-information;kali-network-service-discovery,reconnaissance,In-depth DNS Enumeration and Network Mapping
android-sdk-meta,unresolved-on-snapshot,none-detected,development-support,No package metadata available on current APT snapshot.
android-sdk,installed,none-detected,development-support,Software development kit for Android platform
android-sdk-build-tools,installed,none-detected,development-support,Tools for building Android applications
android-sdk-build-tools-common,installed,none-detected,development-support,Tools for building Android applications - Common files
android-sdk-common,installed,none-detected,development-support,Common files of Android SDK base toolset
android-sdk-platform-tools,installed,none-detected,development-support,Tools for interacting with an Android platform
android-sdk-platform-tools-common,installed,none-detected,development-support,Tools for interacting with an Android platform - Common files
apache-users,installed,none-detected,general-ops,Enumerate usernames on systems with Apache UserDir module
apache2,installed,none-detected,web-app,Apache HTTP Server
apache2-bin,installed,none-detected,web-app,Apache HTTP Server (modules and other binary files)
apache2-data,installed,none-detected,web-app,Apache HTTP Server (common files)
apache2-dev,installed,none-detected,web-app,Apache HTTP Server (development headers)
apache2-doc,installed,none-detected,web-app,Apache HTTP Server (on-site documentation)
apache2-ssl-dev,installed,none-detected,web-app,Apache HTTP Server (mod_ssl development headers)
apache2-suexec-custom,installed,none-detected,web-app,Apache HTTP Server configurable suexec program for mod_suexec
apache2-suexec-pristine,installed,none-detected,web-app,Apache HTTP Server standard suexec program for mod_suexec
apache2-utils,installed,none-detected,web-app,Apache HTTP Server (utility programs for web servers)
apktool,installed,none-detected,reverse-fuzzing,tool for reverse engineering Android apk files
apple-bleee,installed,none-detected,general-ops,scripts to show what an attacker get from Apple devices
arjun,installed,none-detected,web-app,HTTP parameter discovery suite
armitage,installed,kali-command-and-control;kali-execution,exploitation-c2,Cyber attack management for Metasploit
arp-scan,installed,none-detected,general-ops,arp scanning and fingerprinting tool
arping,installed,kali-discovery;kali-remote-system-discovery,general-ops,sends IP and/or ARP pings (to the MAC address)
arpwatch,installed,none-detected,defensive-monitoring,Ethernet/FDDI station activity monitor
asleap,installed,none-detected,exploitation-c2,A tool for exploiting Cisco LEAP networks
assetfinder,installed,none-detected,reconnaissance,Find domains and subdomains related to a given domain
atftp,installed,none-detected,general-ops,advanced TFTP client
atftpd,installed,none-detected,general-ops,advanced TFTP server
atomic-operator,unresolved-on-snapshot,none-detected,general-ops,No package metadata available on current APT snapshot.
python3-atomic-operator,installed,none-detected,general-ops,module to execute Atomic Red Team tests (Python 3)
autopsy,installed,kali-forensics;kali-sleuth-kit-suite,wireless-rf,graphical interface to SleuthKit
autorecon,installed,none-detected,reconnaissance,Multi-threaded network reconnaissance tool
axel,installed,none-detected,general-ops,light command line download accelerator
azurehound,installed,none-detected,cloud-container,BloodHound data collector for Microsoft Azure (program)
b374k,installed,none-detected,general-ops,Remote management tool
bed,installed,none-detected,reverse-fuzzing,A network protocol fuzzer
beef-xss,installed,none-detected,web-app,Browser Exploitation Framework (BeEF)
berate-ap,installed,none-detected,general-ops,Script for orchestrating mana rogue Wi-Fi Access Points
bettercap,installed,none-detected,general-ops,"Complete, modular, portable and easily extensible MITM framework"
bettercap-ui,installed,none-detected,web-app,bettercap's web UI
bind9,installed,none-detected,general-ops,Internet Domain Name Server
bind9-dev,installed,none-detected,development-support,Static Libraries and Headers used by BIND 9
bind9-dnsutils,installed,none-detected,general-ops,Clients provided with BIND 9
bind9-doc,installed,none-detected,development-support,Documentation for BIND 9
bind9-host,installed,none-detected,general-ops,DNS Lookup Utility
bind9-libs,installed,none-detected,general-ops,Shared Libraries used by BIND 9
bind9-utils,installed,none-detected,general-ops,Utilities for BIND 9
