package,status,kali_categories,domain,summary,when_to_use,offensive_use_case,defensive_use_case,general_use_case
azurehound,installed,none-detected,cloud-container,BloodHound data collector for Microsoft Azure (program),"Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
calicoctl,installed,none-detected,cloud-container,networking and network security solution for Kubernetes,"Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
cloud-enum,installed,none-detected,cloud-container,Multi-cloud open source intelligence tool,"Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
cloudbrute,installed,none-detected,cloud-container,Awesome cloud enumerator (program),"Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
cosign,installed,none-detected,cloud-container,Code signing/transparency for containers and binaries (program),"Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
golang-github-sigstore-cosign-dev,unresolved-on-snapshot,none-detected,cloud-container,Code signing/transparency for containers and binaries (library),"Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
golang-k8s-sigs-kustomize-dev,installable-missing,none-detected,cloud-container,Customization of Kubernetes YAML configurations (library),"Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries. This package token is not directly resolvable as installed on the current snapshot; prefer its mapped subpackage or nearest equivalent in the same domain.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
hubble,installed,none-detected,cloud-container,"Network, Service & Security Observability for Kubernetes using eBPF (program)","Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
kubernetes-helm,installed,none-detected,cloud-container,tool for managing Charts (helm),"Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
kustomize,installed,none-detected,cloud-container,Customization of Kubernetes YAML configurations (program),"Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
libgnuradio-pmt3.10.12,installed,none-detected,cloud-container,gnuradio pmt container library,"Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
peirates,installed,none-detected,cloud-container,Kubernetes Penetration Testing tool,"Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
slimtoolkit,installed,none-detected,cloud-container,optimization of your containers,"Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
syft,installed,none-detected,cloud-container,CLI tool for generating a SBOM from container images and filesystems,"Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
testssl.sh,installed,none-detected,cloud-container,"Command line tool to check TLS/SSL ciphers, protocols and cryptographic flaws","Use when assessing cloud IAM, container orchestration, workload exposure, and control-plane trust boundaries.","Simulate token abuse, over-permissioned identities, and workload pivoting to uncover cloud attack paths.","Verify least-privilege controls, runtime guardrails, and alerting fidelity for cloud-native infrastructure.","Audit cloud resource relationships, permissions, and runtime posture for operations and governance."
bruteforce-luks,installed,none-detected,credential-access,Try to find a password of a LUKS encrypted volume,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
bruteforce-wallet,installed,none-detected,credential-access,try to find the password of an encrypted wallet file,"Use when auditing authentication artifacts, password strength, hash resistance, and identity trust boundaries.","Emulate credential theft and reuse tactics to expose weak secrets, over-privilege, and lateral movement opportunities.",Test password policy quality and credential hygiene controls to prioritize hardening and reduce account-compromise risk.,"Assess identity and credential lifecycle quality for governance, compliance, and operational resilience."
